harvard-star-designation,mag_max,mag_min,period
1505,14.8,16.1,1.25336
1436,14.8,16.4,1.6637
1446,14.8,16.4,1.762
1506,15.1,16.3,1.87502
1413,14.7,15.6,2.17352
1460,14.4,15.7,2.913
1422,14.7,15.9,3.501
842,14.6,16.1,4.2897
1425,14.3,15.3,4.547
1742,14.3,15.5,4.9866
1646,14.4,15.4,5.311
1649,14.3,15.2,5.323
1492,13.8,14.8,6.2926
1400,14.1,14.8,6.665
1355,14,14.8,7.483
1374,13.9,15.2,8.397
818,13.6,14.7,10.336
1610,13.4,14.6,11.645
1365,13.8,14.8,12.417
1351,13.4,14.4,13.08
827,13.4,14.3,13.47
822,13,14.6,16.75
823,12.2,14.1,31.94
824,11.4,12.8,65.8
821,11.2,12.1,127
